Insect_ID,Insect_Status
Agapostemon splendens,Native
Ammophila pictipennis,Native
Anartia jatrophae,Native
Anoplius americanus,Native
Apis mellifera,Non-native
Ascia monuste,Native
Augochlora pura,Native
Battus polydamas,Native
Burnsius albezens,Native
Burnsius oileus,Native
Cecropterus dorantes,Native
Ceratina floridana,Native
Chauliognathus marginatus,Native
Chrysanthrax cypris,Native
Coelioxys slossoni,Native
Cylindromyia intermedia,Native
Cylindromyia interrupta,Native
Cymaenes tripunctus,Native
Danaus plexippus,Native
Dielis dorsata,Non-native
Dielis plumipes,Native
Dielis trifasciata,Native
Dione  vanillae,Native
Dioprosopa clavata,Native
Dryas iulia,Native
Electrostrymon angelia,Native
Erynnis horatius,Native
Euphoria sepulcralis,Native
Eurema daira,Native
Family Halictidae,Unknown
Family Pompilidae,Unknown
Genus Agapostemon,Unknown
Genus Anomalon,Unknown
Genus Chrysomya,Unknown
Genus Coelioxys,Unknown
Genus Colletes,Unknown
Genus Dielis,Unknown
Genus Lasioglossum,Unknown
Genus Megachile,Unknown
Genus Mordella,Unknown
Genus Myzinum,Unknown
Genus Palpada,Unknown
Genus Phoebis,Unknown
Genus Polistes,Unknown
Genus Prionyx,Unknown
Genus Tachytes,Unknown
Genus Toxophora,Unknown
Gonia crassicornis,Native
Halictus poeyi,Native
Heliconius charithonia,Native
Hemiargus ceraunus,Native
Heraclides cresphontes,Native
Hylephila phyleus,Native
Hyles lineata,Native
Junonia coenia,Native
Lasioglossum gemmatum,Native
Lasioglossum nymphale,Native
Leptotes cassius,Native
Lerodea eufala,Native
Marpesia petreus,Native
Megachile petulans,Native
Megachile pruina,Native
Mischocyttarus mexicanus,Native
Myzinum carolinianum,Native
Myzinum dubiosum,Native
Nathalis iole,Native
Nomia maneei,Native
Oenobotys vinotinctalis,Native
Ornidia obesa,Native
Pachodynerus erynnis,Native
Pachodynerus nasidens,Native
Palpada agrorum,Native
Palpada albifrons,Native
Palpada furcata,Native
Palpada pusilla,Native
Palpada vinetorum ,Native
Panoquina ocola,Native
Phyciodes phaon,Native
Physoconops floridanus,Native
Pimpla marginella,Native
Poecilanthrax lucifer,Native
Poecilanthrax lucifer ,Native
Polistes bellicosus,Native
Polistes dorsalis,Native
Polistes major,Native
Polistes major ssp. major,Non-native
Pyrausta tyralis,Native
Samea castellalis,Native
Sceliphron caementarium,Native
Scolia nobilitata,Native
Spoladea recurvalis,Native
Strymon istapa,Native
Strymon melinus,Native
Syngamia florella,Native
Syritta flaviventris,Non-native
Systoechus solitus,Native
Tarache aprica,Native
Toxomerus arcifer,Native
Toxomerus corbis,Native
Toxomerus floralis,Native
Toxomerus marginatus,Native
Trigonopeltastes delta,Native
Vanessa atalanta,Native
Villa lateralis,Native
